Title,URL,Image URL,Time,Tags,Extracted Title,Extracted Time
,https://www.nasa.gov/missions/nisar/powerful-new-us-indian-satellite-will-track-earths-changing-surface/,https://www.nasa.gov/wp-content/uploads/2024/11/1-redoubt-eruption-usgs.jpg?w=1024,,,Powerful New US-Indian Satellite Will Track Earth’s Changing Surface,"NOV 08, 2024"
,https://science.nasa.gov/earth/hurricane-helenes-gravity-waves-revealed-by-nasas-awe/,https://assets.science.nasa.gov/dynamicimage/assets/science/missions/awe/AWE-Hurricane-Helene-blueDarkRed_Still2.jpg,,,Hurricane Helene’s Gravity Waves Revealed by NASA’s AWE,"NOV 07, 2024"
,https://science.nasa.gov/solar-system/skywatching/the-next-full-moon-will-be-the-last-of-four-consecutive-supermoons/,https://images-assets.nasa.gov/image/GRC-2024-C-10124/GRC-2024-C-10124~large.jpg,,,N/A,"NOV 13, 2024"
,https://www.nasa.gov/missions/voyager-program/voyager-2/mining-old-data-from-nasas-voyager-2-solves-several-uranus-mysteries/,https://www.nasa.gov/wp-content/uploads/2024/11/1-pia18182-uranus-globe.jpg?w=1024,,,Mining Old Data From NASA’s Voyager 2 Solves Several Uranus Mysteries,"NOV 11, 2024"
,https://science.nasa.gov/earth/hurricane-helenes-gravity-waves-revealed-by-nasas-awe/,https://assets.science.nasa.gov/dynamicimage/assets/science/missions/awe/AWE-Hurricane-Helene-blueDarkRed_Still2.jpg,,,Hurricane Helene’s Gravity Waves Revealed by NASA’s AWE,"NOV 07, 2024"
,https://science.nasa.gov/missions/hubble/hubble-captures-a-galaxy-with-many-lights/,https://science.nasa.gov/wp-content/uploads/2024/11/hubble-ngc1672-withsn-potw2445c.jpg,,,Hubble Captures a Galaxy with Many Lights,"NOV 08, 2024"
,https://science.nasa.gov/get-involved/citizen-science/nasas-neowise-spacecraft-re-enters-atmosphere-but-more-discoveries-await/,https://assets.science.nasa.gov/dynamicimage/assets/science/cds/citizen-science/highlights/2024/neowise-citizenscience-logos.jpg,,,"NASA’s NEOWISE Spacecraft Re-Enters Atmosphere, But More Discoveries Await!","NOV 04, 2024"
,https://science.nasa.gov/missions/hubble/nasas-hubble-webb-probe-surprisingly-smooth-disk-around-vega/,https://science.nasa.gov/wp-content/uploads/2024/10/hubble-webb-vega-stsci-01jbf1zcym7avv5rcjttd7tdpc.jpg,,,N/A,"NOV 01, 2024"
,https://www.nasa.gov/general/entrevista-con-instructora-de-oceanos-maria-fernanda-barbarena-arias/,https://www.nasa.gov/wp-content/uploads/2024/11/1q4a4494.jpg?w=1024,,,Entrevista con Instructora de OCEANOS María Fernanda Barbarena-Arias,"NOV 12, 2024"
,https://www.nasa.gov/general/entrevista-con-instructor-de-oceanos-roy-armstrong/,https://www.nasa.gov/wp-content/uploads/2024/11/1q4a1721.jpg?w=1024,,,Entrevista con Instructor de OCEANOS Roy Armstrong,"NOV 12, 2024"
,https://www.nasa.gov/general/entrevista-con-instructor-de-oceanos-juan-torres-perez/,https://www.nasa.gov/wp-content/uploads/2024/11/1q4a4282.jpg?w=1024,,,Entrevista con Instructor de OCEANOS Juan Torres-Pérez,"NOV 12, 2024"
,https://www.nasa.gov/directorates/armd/nasa-funds-new-studies-looking-at-future-of-sustainable-aircraft/,https://www.nasa.gov/wp-content/uploads/2024/11/electra-nasa-aaces-concept-image.jpg?w=1024,,,NASA Funds New Studies Looking at Future of Sustainable Aircraft,"NOV 12, 2024"
,https://www.nasa.gov/aeronautics/math-mentorship-motherhood-nasa-engineers/,https://www.nasa.gov/wp-content/uploads/2024/02/acosta-daughter-vms-igted.png?w=1024,,,"Math, Mentorship, Motherhood: Behind the Scenes with NASA Engineers","NOV 08, 2024"
,https://www.nasa.gov/aeronautics/x-59-fires-up-its-engine-for-first-time-on-its-way-to-takeoff/,https://images-assets.nasa.gov/image/AFRC2024-0176-01/AFRC2024-0176-01~large.jpg?w=1920&h=1281&fit=clip&crop=faces%2Cfocalpoint,,,X-59 Fires Up its Engine for First Time on its Way to Takeoff,"NOV 06, 2024"
,https://science.nasa.gov/researchers/solicitations/roses-2024/amendment-65-d-19-habitable-worlds-observatory-system-technology-demonstrations-and-mission-architecture-studies-final-text-and-due-date/,https://assets.science.nasa.gov/dynamicimage/assets/science/astro/exo-explore/internal_resources/245/Red_dwarf_star_with_possible_planet.jpeg,,,N/A,N/A
,https://science.nasa.gov/researchers/solicitations/roses-2024/amendment-64-significant-changes-to-three-astrophysics-roses-program-elements-d-3-apra-d-7-sat-and-d-8-rtf/,https://assets.science.nasa.gov/dynamicimage/assets/science/astro/universe/internal_resources/380/Galaxy_Collision-1.jpeg,,,N/A,N/A
,https://science.nasa.gov/planetary-science/programs/radioisotope-power-systems/power-to-explore-stem-writing-challenge/,https://science.nasa.gov/wp-content/uploads/2024/08/l1006013-dl.jpg,,,N/A,N/A
,https://www.nasa.gov/learning-resources/get-involved-with-nasa-research/,https://www.nasa.gov/wp-content/uploads/2024/11/globe-gif-2.gif?w=602,,,NASA Knows – How Can I Get Involved With NASA Research?,"NOV 06, 2024"
,https://www.nasa.gov/humans-in-space/commercial-space/leo-economy/nasa-shares-space-food-insight-with-commercial-food-industry/,https://www.nasa.gov/wp-content/uploads/2024/07/iss071e297201.jpg?w=1024,,,NASA Shares Space Food Insight with Commercial Food Industry,"NOV 07, 2024"
,https://www.nasa.gov/history/40-years-ago-sts-51a-the-ace-repo-company/,https://www.nasa.gov/wp-content/uploads/2024/11/sts-51a-20-fisher-operating-rms-51a-31-067.jpg?w=381,,,40 Years Ago: STS-51A – “The Ace Repo Company”,"NOV 08, 2024"
,https://www.nasa.gov/es/el-x-59-enciende-su-motor-por-primera-vez-rumbo-al-despegue/,https://images-assets.nasa.gov/image/AFRC2024-0176-01/AFRC2024-0176-01~large.jpg?w=1920&h=1281&fit=clip&crop=faces%2Cfocalpoint,,,El X-59 enciende su motor por primera vez rumbo al despegue,"NOV 06, 2024"
,https://www.nasa.gov/centers-and-facilities/armstrong/la-nasa-lleva-un-dron-y-un-rover-espacial-a-un-espectaculo-aereo/,https://www.nasa.gov/wp-content/uploads/2024/10/nasa-miramarairshow-10012024-dsc00038.jpg?w=1024,,,La NASA lleva un dron y un rover espacial a un espectáculo aéreo,"OCT 30, 2024"
,https://www.nasa.gov/es/destacado-de-la-nasa-felipe-valdez-un-ingeniero-inspirador/,https://www.nasa.gov/wp-content/uploads/2024/10/felipe-valdez-afrc-.jpg?w=1024,,,"Destacado de la NASA: Felipe Valdez, un ingeniero inspirador","OCT 25, 2024"
