web-scraper-order,web-scraper-start-url,news_item,news_item-href,title,description,images-src,topic,date
"1728756001-11","https://mzamin.com/category.php?cat=4","‘ইচ্ছাকৃতভাবে’ জাতীয় দলে না খেলার অভিযোগ এমবাপ্পের বিরুদ্ধে","https://mzamin.com/news.php?news=130718","","","uploads/news/main/130718_5.webp","",""
"1728756001-12","https://mzamin.com/category.php?cat=4","‘ইচ্ছাকৃতভাবে’ জাতীয় দলে না খেলার অভিযোগ এমবাপ্পের বিরুদ্ধে","https://mzamin.com/news.php?news=130718","","","","খেলা",""
"1728756004-13","https://mzamin.com/category.php?cat=4","দেশেই সাকিবের অবসর নেয়ার ‘ভালো সম্ভাবনা’","https://mzamin.com/news.php?news=130719","দেশেই সাকিবের অবসর নেয়ার ‘ভালো সম্ভাবনা’","","","",""
"1728756004-14","https://mzamin.com/category.php?cat=4","দেশেই সাকিবের অবসর নেয়ার ‘ভালো সম্ভাবনা’","https://mzamin.com/news.php?news=130719","","ভারতের বিপক্ষে কানপুর টেস্টে মাঠে নামার আগের দিন সংবাদ সম্মেলনে টেস্ট ও টি-টোয়েন্টি ক্রিকেট থেকে অবসরের ঘোষণা দিয়েছিলেন সাকিব আল হাসান। আগামী ২১শে অক্টোবর শুরু হতে যাওয়া দক্ষিণ আফ্রিকার বিপক্ষে ঘরের মাঠে টেস্ট সিরিজ খেলে সাদা পোশাক তুলে রাখার কথা বলেছিলেন দেশের অন্যতম সেরা এই ক্রিকেটার। সাকিব হত্যা মামলার আসামি হওয়াতে নিরাপত্তার প্রশ্নে তার দেশে ফিরে সেই টেস্টে অংশ নেয়া অনিশ্চিত। তাই দেশে ফিরতে এবং পুনরায় দেশ ছাড়তে বোর্ডের কাছে নিরাপত্তা চেয়েছিলেন সাকিব। শুরুতে সেই নিরাপত্তা দিতে অপরাগতা প্রকাশ করেছিল বোর্ড। তবে সেটা থেকে সরে এসেছে বিসিবি। গতকাল মিরপুরে সভা শেষে সাকিব ইস্যুতে বিসিবি সভাপতি ফারুক আহমেদ বলেন, ‘সাকিবের সঙ্গে আমার যোগাযোগ হয়েছে, সাকিবের ভালো সম্ভাবনা আছে দেশে এসে অবসর নেওয়ার।’ 
গত জাতীয় সংসদ নির্বাচনে আওয়ামী লীগের মনোনয়নে মাগুরা থেকে সংসদ সদস্য হয়েছিলেন সাকিব। গত মাসে আওয়ামী লীগ সরকারের পতনের পর বদলে গেছে প্রেক্ষাপট। সংসদ সদস্য পদ হারিয়েছেন সাকিব। গণহারে মামলার ভিড়ে একটি হত্যা মামলায় আসামী করা হয়েছে তাকেও। এছাড়া শেয়ার বাজার কারসাজির অভিযোগে  ৫০ লাখ টাকা জরিমানাও করা হয়েছে সাকিবকে। সব মিলিয়ে সাকিবের বাস্তবতা বেশ প্রতিকূল। এই অবস্থায় সাকিবের দেশে অবসর নিতে চাওয়া পূরণের পথে মূল বাধা তার বিরুদ্ধে দায়ের হওয়া হত্যা মামলা। মামলা মাথায় নিয়ে দেশে ফিরলে কতটা নিরাপদে থাকতে পারবেন এবং নির্বিঘ্নে আবার দেশ ছাড়তে পারবেন কি না, এরকম নিশ্চয়তা তিনি চেয়েছিলেন বিদায়ের ঘোষণার সময়। এরপর থেকেই দেশের ক্রিকেটের সবচেয়ে আলোচিত প্রসঙ্গগুলোর একটি এটি। বিসিবি সভাপতি ফারুক আহমেদ গত ২৬শে সেপ্টেম্বর বলেছিলেন, সাকিব দেশে ফিরলে তার বিদায় রাঙানোর আয়োজন তারা করবেন, কিন্তু তার নিরাপত্তার নিশ্চয়তা বোর্ড দিতে পারবে না। এরপর গত ২৯ সেপ্টেম্বর যুব ও ক্রীড়া উপদেষ্টা আসিফ মাহমুদ সজীব ভূঁইয়া বলেছিলেন, রাজনৈতিকভাবে সাকিবকে অবস্থান স্পষ্ট করতে হবে। সরকার ও বোর্ডের কড়া অবস্থান দেখে তখন মনে হচ্ছিল, দেশে ফিরে সাকিবের বিদায় নেওয়ার সম্ভাবনা ক্ষীণ। তবে বৃহস্পতিবার যুব ও ক্রীড়া উপদেষ্টার কথায় আবার সুর বদলের ইঙ্গিত পাওয়া যায়। সংযুক্ত আরব আমিরাতে নারী টি-টোয়েন্টি বিশ্বকাপে ম্যাচের ফাঁকে সংবাদমাধ্যমে যুব ও ক্রীড়া উপদেষ্টা বলেন, ‘সাকিবকে সর্বোচ্চ নিরাপত্তা দেওয়া হবে এবং তিনি নিজেও ব্যক্তিগতভাবে চান, এই অলরাউন্ডারের বিদায় দেশ থেকেই হোক।’ 
এবার ফারুক আহমেদের কণ্ঠের সুরেও বদলের ছোঁয়া পাওয়া গেল। আইনী জটিলতা দূর করার দায়িত্ব অবশ্য সরকার ও সংশ্লিষ্টদের ওপরই ছেড়ে দিচ্ছেন তিনি। তবে নিজেদের পক্ষ থেকে সহায়তার আশ্বাস দিয়ে রাখলেন বিসিবি প্রধান। গতকাল বোর্ড মিটিং শেষে ফারুক বলেন, ‘হ্যাঁ, সাকিবের সঙ্গে আমার যোগাযোগ হয়েছে, সাকিবের ভালো সম্ভাবনা আছে দেশে এসে অবসর নেওয়ার।’ এরপর সাকিবের নিরাপত্তার ইস্যুতে ফারুক বলেন, ‘লিগ্যালটা তো আমি বলতে পারবো না। সর্বোচ্চ পর্যায় থেকে, আমি তো ছোট মানুষ, বোর্ড প্রেসিডেন্ট। আমার হাতে ক্ষমতা খুব কম। সাকিবের ব্যাপারটা পুরোপুরি সরকার থেকে আসতে হবে। আইনশৃঙ্খলা বাহিনী আছে, সরকার আছে, উপদেষ্টা আছে তারা সিদ্ধান্ত নেবে তার সামগ্রিক দায়িত্ব নেওয়ার। আমাদের যতটুকু ক্ষমতা, স্টেডিয়ামের ভেতর ও ইনডোরে যাবে, মাঠে খেলবে, অনুশীলন করতে যাবে; এই দায়িত্ব নেওয়াটা তো খুব সহজ। এটা আমরা নিতে পারবো।’","","",""
"1728756004-15","https://mzamin.com/category.php?cat=4","দেশেই সাকিবের অবসর নেয়ার ‘ভালো সম্ভাবনা’","https://mzamin.com/news.php?news=130719","","","uploads/news/main/130719_4.webp","",""
"1728756004-16","https://mzamin.com/category.php?cat=4","দেশেই সাকিবের অবসর নেয়ার ‘ভালো সম্ভাবনা’","https://mzamin.com/news.php?news=130719","","","","খেলা",""
"1728756006-17","https://mzamin.com/category.php?cat=4","মনোনয়নপত্র বিতরণ শুরু কাল, বিদেশ থেকেও প্রার্থী হওয়া যাবে","https://mzamin.com/news.php?news=130720","মনোনয়নপত্র বিতরণ শুরু কাল, বিদেশ থেকেও প্রার্থী হওয়া যাবে","","","",""
"1728756006-18","https://mzamin.com/category.php?cat=4","মনোনয়নপত্র বিতরণ শুরু কাল, বিদেশ থেকেও প্রার্থী হওয়া যাবে","https://mzamin.com/news.php?news=130720","","আগামী ২৬শে অক্টোবর অনুষ্ঠিত হবে বাংলাদেশ ফুটবল ফেডারেশন (বাফুফে)-এর নির্বাচন। গতকাল বাফুফে ভবনে এই নির্বাচনের তফসিল ঘোষণা করেন প্রধান নির্বাচন কমিশনার মেজবাহ উদ্দিন আহমেদ। এ সময় কমিটির অন্য দুই সদস্য মৎস্য ও প্রাণী সম্পদ অধিদপ্তরের মহাপরিচালক অতিরিক্ত সচিব  সুরাইয়া আখতার জাহান  ও সুপ্রিম কোর্টের আইনজীবী ব্যারিস্টার একেএম এহসানুর রহমান উপস্থিত ছিলেন। তফসিল অনুযায়ী নির্বাচনের জন্য মনোনয়নপত্র সংগ্রহ শুরু হবে ৯ অক্টোবর, চলবে তিন দিন (৯, ১০ ও ১২ই অক্টোবর) সকাল ১০টা থেকে বিকাল ৫টা পর্যন্ত। সভাপতি পদে মনোনয়ন ফরমের মূল্য ১ লাখ টাকা, সিনিয়র সহসভাপতি পদে ৭৫ হাজার, সহসভাপতি পদে ৫০ হাজার এবং সাধারণ সদস্য পদের মনোনয়ন ফরম ২৫ হাজার টাকা। মনোনয়ন পত্র যাচাই বাচাই হবে ১৬ অক্টোবর।  মনোনয়নপত্রের ওপর আপত্তি থাকলে ৫০ হাজার টাকা ফি দিয়ে ১৭ অক্টোবর আপিল করার সুযোগ রয়েছে। পরদিন হবে শুনানি। মনোনয়নপত্র প্রত্যাহার করা যাবে ১৯ থেকে ২০শে অক্টোবর দুপুর ২টা পর্যন্ত। ২০শে অক্টোবর বিকালে নির্বাচন কমিশন চূড়ান্ত প্রার্থী তালিকা প্রকাশ ও ব্যালট নির্ধারণ করবে। বিদেশ থেকেও প্রার্থী হওয়া যাবে বাফুফে নির্বাচনে।","","",""
"1728756006-19","https://mzamin.com/category.php?cat=4","মনোনয়নপত্র বিতরণ শুরু কাল, বিদেশ থেকেও প্রার্থী হওয়া যাবে","https://mzamin.com/news.php?news=130720","","বাফুফের কার্যনির্বাহী কমিটিতে মোট পদ ২০টি। সভাপতি, সিনিয়র সহসভাপতি, সহসভাপতির তিনটি পদের পাশাপাশি নির্বাহী কমিটির সদস্যপদের সংখ্যা ১৫। বর্তমান সভাপতি কাজী সালাউদ্দীন আগেই জানিয়েছেন, আসন্ন নির্বাচনে তিনি সভাপতি পদে প্রতিদ্বন্দ্বিতা করবেন না। তবে তার প্যানেল থেকে অনেকেই নির্বাচন করবেন বলে শোনা যাচ্ছে। যার মধ্যে আছেন দুই সহ-সভাপতি কাজী নাবিল আহমেদ ও আতাউর রহমান ভূঁইয়া মানিক। একই পদে এরা দু’জন বিদেশ থেকেই নির্বাচন করবেন বলে শোনা যাচ্ছে। এরই মধ্যে সভাপতি পদে নির্বাচনের ঘোষণা দিয়েছেন তাবিথ আউয়াল ও তরফদার রুহুল আমিন। ইতিমধ্যে নির্বাচনের কাউন্সিল বা ভোটার তালিকা চূড়ান্ত হয়েছে। কাউন্সিলর হতে মোট ১৩৭টি আবেদন জমা পড়েছিল। এর মধ্যে যাচাই-বাছাই শেষে ১৩৩টি আবেদনের চূড়ান্ত অনুমোদন দেওয়া হয়েছে। ১৩৩ কাউন্সিলরের মধ্যে আছে ৮ বিভাগীয় ফুটবল অ্যাসোসিয়েশন, ৫৮ জেলা ফুটবল অ্যাসোসিয়েশন, প্রিমিয়ার লীগের ১০ ক্লাব, বাংলাদেশ চ্যাম্পিয়নশিপ লীগের ৫ ক্লাব, প্রথম বিভাগের ১৮ ক্লাব, দ্বিতীয় ও তৃতীয় বিভাগের ৮টি করে ক্লাব, নারী লিগের ৪ শীর্ষ দল, ৬ বিশ্ববিদ্যালয় ও ৫ শিক্ষা বোর্ড। এ ছাড়া রেফারি, কোচেস অ্যাসোসিয়েশন এবং মহিলা ক্রীড়া সংস্থার ভোট একটি করে। গতকাল  তফসিল ঘোষণার পর নির্বাচনী বিধিমালা নিয়ে সাংবাদিকদের অবহিত করেন মেজবাউদ্দিন। সেখানে উঠে আসে বিদেশ থেকে প্রার্থী হওয়ার বিষয়টি। এ বিষয়ে প্রধান নির্বাচন কমিশনার মেজবাহ উদ্দিন বলেন, ‘একজন বিদেশ থেকে পাঠালেন তার স্বাক্ষর আমরা যাচাই করব কিভাবে।’ মনোনয়ন পত্র গ্রহণ করে অনলাইনে স্বাক্ষর করে বা সেই ফরম বিদেশ থেকেই কারো মাধ্যমে স্বাক্ষর করে পাঠানোর সুযোগ থাকতে পারে। এই প্রশ্নের উত্তরে আবার প্রধান নির্বাচন কমিশনার বলেন, ‘যদি এটি সেই দেশের বাংলাদেশ দূতাবাসের মাধ্যমে ভেরিফাই হয়ে আসে তখন দেখা যেতে পারে।’ প্রধান নির্বাচন কমিশনার অবশ্য বিদেশ থেকে প্রার্থী হওয়াকে নিরুৎসাহিত করে বলেন, ‘বিদেশ থেকে প্রার্থী হওয়া সঠিক রাস্তা নয়। এটা লিগ্যালি পারমিট করে না।’ মনোনয়ন পত্রের ওপর আপত্তির সুযোগ রয়েছে। বিদেশ থেকে কেউ মনোনয়ন পত্র প্রেরণ করলে সেটি আপত্তি হলে শুনানির সময় অভিযুক্তকে সশরীরে থাকতে হবে। সশরীরে না থাকতে পারলে প্রার্থীতা থাকবে না সেটা স্পষ্ট করে তিনি বলেন, ‘শুনানির সময় সশরীরে প্রার্থীকে হাজির হতে হবে। সশরীরে হাজির না থাকলে প্রার্থীতা থাকবে না।’ বাফুফের নির্বাচনে কাউন্সিলরশিপ নিয়ে অভিযোগ রয়েছে। যারা কাউন্সিলর হতে পারেননি বাফুফের কাছে সুষ্ঠু বিচার না পেয়ে আদালতের দ্বারস্থ হতে পারেন। আদালতের নির্দেশনা সম্পর্কে নির্বাচন কমিশনের সদস্য ব্যারিস্টার একেএম এহসানুর রহমান বলেন, ‘ভোটার তালিকার বিষয়টি সম্পূর্ণ নির্বাহী কমিটির এখতিয়ার। মহামান্য আদালতের কোনো নির্দেশনা থাকলে ভোটার সংক্রান্ত সেটা নির্বাহী কমিটিই দেখবে।’ বাফুফের কাউন্সিলর তালিকায় হত্যা মামলার আসামী রয়েছেন। এ নিয়ে ফুটবলাঙ্গনে চলছে আলোচনা-সমালোচনা। মামলার আসামীদের নির্বাচনে প্রার্থী ও ভোট প্রদানে অবশ্য আইনত কোনো বাধা নেই স্পষ্টভাবেই জানিয়েছেন প্রধান নির্বাচন কমিশনার। তিনি বলেন, ‘যতক্ষণ পর্যন্ত আদালত শাস্তি প্রদান না করে ততক্ষণ পর্যন্ত প্রার্থী হতে সমস্যা নেই। মামলা, এমনকি জেল খাটলেও নির্বাচন করতে বাধা নেই। আদালত দোষী সাব্যস্ত করলেই কেবল নির্বাচনে অযোগ্যতা হিসেবে বিবেচিত হবে।’","","",""
"1728756006-20","https://mzamin.com/category.php?cat=4","মনোনয়নপত্র বিতরণ শুরু কাল, বিদেশ থেকেও প্রার্থী হওয়া যাবে","https://mzamin.com/news.php?news=130720","","","","",""
"1728756006-21","https://mzamin.com/category.php?cat=4","মনোনয়নপত্র বিতরণ শুরু কাল, বিদেশ থেকেও প্রার্থী হওয়া যাবে","https://mzamin.com/news.php?news=130720","","","uploads/news/main/130720_3.webp","",""
"1728756006-22","https://mzamin.com/category.php?cat=4","মনোনয়নপত্র বিতরণ শুরু কাল, বিদেশ থেকেও প্রার্থী হওয়া যাবে","https://mzamin.com/news.php?news=130720","","","","খেলা",""
"1728756009-23","https://mzamin.com/category.php?cat=4","আগামী বছরের শুরুতে বাংলাদেশে আসবেন নেইমার","https://mzamin.com/news.php?news=130721","আগামী বছরের শুরুতে বাংলাদেশে আসবেন নেইমার","","","",""
"1728756009-24","https://mzamin.com/category.php?cat=4","আগামী বছরের শুরুতে বাংলাদেশে আসবেন নেইমার","https://mzamin.com/news.php?news=130721","","বাংলাদেশে আসছেন ব্রাজিলিয়ান ফুটবলার নেইমার জুনিয়র। আগামী বছরের শুরুর দিকেই বাংলাদেশে আসবেন তিনি। নেইমারের আসার খবর দিয়েছেন রবিন মিয়া। বাংলাদেশি বংশোদ্ভূত রবিন নেইমারের বন্ধু। লম্বা সময় ধরেই ব্রাজিলিয়ান সুপার স্টারের সঙ্গে কাজ করছেন তিনি। ভক্তদের নেইমারকে কাছ থেকে দেখার সুযোগ করে দিতে তাকে বাংলাদেশে নিয়ে আসছেন বলে জানান তিনি।
বাংলাদেশে মেসি-রোনালদো-নেইমারদের ফ্যানের অভাব নেই। আর্জেন্টিনা-ব্রাজিল, বা রিয়াল মাদ্রিদ-বার্সেলোনা ও ম্যানচেস্টার ইউনাইটেড-লিভারপুলের মতো ক্লাবকে নিয়ে মাতামাতি দেখা যায় অনেক। গত ফুটবল বিশ্বকাপে আর্জেন্টিনাকে সমর্থন করে পুরো বিশ্বের নজর কাড়েন বাংলাদেশিরা। কাছ থেকে প্রিয় তারকাদের দেখার জন্য আকুল হয়ে থাকেন সমর্থকরা।  এবার নেইমারকে কাছ থেকে দেখার সুযোগ পাচ্ছেন ভক্তরা। সম্প্রতি দেশের এক টিভি চ্যানেলকে দেওয়া সাক্ষাৎকারে রবিন বলেন,  ‘নেইমারের আসার ব্যাপারে দেশের একটি প্রতিষ্ঠানের সঙ্গে মৌখিক ও লিখিতভাবে কথা হয়েছে। আশা করি, আগামী বছরের (২০২৫) শুরুর দিকে তাকে বাংলাদেশে আনতে পারবো।’ এর আগে গত বছর ব্রাজিলিয়ান কিংবদন্তি রোনালদিনহো এবং আর্জেন্টাইন তারকা এমিলিয়ানো মার্টিনেজ এসেছিলেন বাংলাদেশে। রোনালদিনহো কয়েকজনের সঙ্গে দেখা করলেও মার্টিনেজ ছিলেন ধরাছোঁয়ার বাইরে। সফররত আর্জেন্টিনার বিশ্বকাপজয়ী গোলরক্ষককে ঘিরে থাকতে দেখা গিয়েছিল তৎকালীন সরকারের প্রতিমন্ত্রী জুনাইদ আহমেদ পলক ও তার ঘনিষ্ঠ জনদের। সংক্ষিপ্ত সফর শেষে মার্টিনেজেরে বিদায় বেলায় একই সময়ে বিমানবন্দরে অবস্থান করছিলেন বাংলাদেশ জাতীয় দলের অধিনায়ক জামাল ভূঁইয়া। দলের সঙ্গে বিদেশ সফর থেকে ফেরা জামাল বিমানবন্দরে মার্টিনেজের সঙ্গে দেখা করার ইচ্ছাও প্রকাশ করেছিলেন। কিন্তু তা সম্ভব হয়নি। এ নিয়ে হয় তুমুল সমালোচনা। মার্টিনেজ ও রোনালদিনহো- দুটি সফরই জন্ম দিয়েছিল বিতর্কের। নেইমারের বেলায় যেন এমনটি না হয়, সেদিকে খেয়াল রাখবেন বলে জানান রবিন। জানান, ভক্তদের প্রাধান্য দিয়েই অনুষ্ঠান আয়োজন করা হবে।","","",""
