web-scraper-order,web-scraper-start-url,news-selector,news-selector-href,title,date,description
"1728738429-11","https://www.prothomalo.com/politics","তাপসের জন্য ভাত আনতে ৫১ মাসে ব্যয় ২৮ লাখ টাকা","https://www.prothomalo.com/bangladesh/capital/kdjqsiipxc","","","তাপস ঢাকা দক্ষিণ সিটির মেয়রের দায়িত্বে ছিলেন ৫১ মাস। সে হিসাবে শুধু দুপুরের খাবার আনার জন্য গাড়ির জ্বালানি বাবদ সিটি করপোরেশনের ব্যয় ২৮ লাখ ৫ হাজার টাকা। আর যে গাড়িতে দুপুরে ভাত আনা হতো, সেই গাড়ি অন্য কোনো কাজে ব্যবহার করা হতো না।"
"1728738429-12","https://www.prothomalo.com/politics","তাপসের জন্য ভাত আনতে ৫১ মাসে ব্যয় ২৮ লাখ টাকা","https://www.prothomalo.com/bangladesh/capital/kdjqsiipxc","","","খাবারের ওই গাড়ির বাইরে তাপস নিজের ও পরিবারের সদস্যদের জন্য সিটি করপোরেশনের তিনটি গাড়ি ব্যবহার করতেন। এ ছাড়া বিধি ভেঙে তাঁর দপ্তরের দুই কর্মকর্তাকেও (দুজনই ছাত্রলীগের সাবেক নেতা) গাড়ি ব্যবহারের সুযোগ করে দিয়েছিলেন। পাশাপাশি তাঁর ব্যক্তিগত একজন কর্মীকেও করপোরেশনের গাড়ি বরাদ্দ দিয়েছিলেন। এই ৯ গাড়ির পেছনে জ্বালানি তেল বাবদ ৫১ মাসে সিটি করপোরেশনের ব্যয় প্রায় ২ কোটি টাকা।"
"1728738429-13","https://www.prothomalo.com/politics","তাপসের জন্য ভাত আনতে ৫১ মাসে ব্যয় ২৮ লাখ টাকা","https://www.prothomalo.com/bangladesh/capital/kdjqsiipxc","","","নিয়ম অনুযায়ী, মেয়রের জন্য সিটি করপোরেশন থেকে সার্বক্ষণিকভাবে বরাদ্দ থাকে একটি গাড়ি। গাড়িটি চালাবেন সিটি করপোরেশনের পরিবহন শাখার একজন চালক। তবে তাপস মেয়র থাকার সময় এ নিয়ম মানা হয়নি।"
"1728738429-14","https://www.prothomalo.com/politics","তাপসের জন্য ভাত আনতে ৫১ মাসে ব্যয় ২৮ লাখ টাকা","https://www.prothomalo.com/bangladesh/capital/kdjqsiipxc","","","মেয়র থাকার সময় তাপস ও তাঁর ঘনিষ্ঠদের নামে ৯টি গাড়ি বরাদ্দের বিষয়ে ঢাকা দক্ষিণ সিটির প্রধান নির্বাহী কর্মকর্তা মিজানুর রহমান ৪ অক্টোবর প্রথম আলোকে বলেন, ‘আমি এখানে দায়িত্ব পালন করছি দেড় বছর ধরে। এর আগে থেকেই তিনি (তাপস) একাধিক গাড়ি ব্যবহার করে আসছেন। তিনি যদি নিয়মের বাইরে গিয়ে অতিরিক্ত কিছু করে থাকেন, তা হিসাব করলেই বের হয়ে আসবে।’"
"1728738429-15","https://www.prothomalo.com/politics","তাপসের জন্য ভাত আনতে ৫১ মাসে ব্যয় ২৮ লাখ টাকা","https://www.prothomalo.com/bangladesh/capital/kdjqsiipxc","","","২০২০ সালের ফেব্রুয়ারিতে ঢাকা দক্ষিণ সিটির মেয়র হন তাপস। তবে দায়িত্ব নেন ওই বছরের মে মাসে। গণ-অভ্যুত্থানে গত ৫ আগস্ট আওয়ামী লীগ সরকার পতনের দুই দিন আগে অনেকটা গোপনে দেশ ছাড়েন তিনি। বর্তমানে তিনি সিঙ্গাপুরে অবস্থান করছেন বলে তাঁর ঘনিষ্ঠরা জানিয়েছেন।"
"1728738429-16","https://www.prothomalo.com/politics","তাপসের জন্য ভাত আনতে ৫১ মাসে ব্যয় ২৮ লাখ টাকা","https://www.prothomalo.com/bangladesh/capital/kdjqsiipxc","","","দক্ষিণ সিটির সাবেক মেয়র তাপস থাকতেন উত্তর সিটির অভিজাত এলাকা বনানীতে। তাঁর বাসা বনানী কবরস্থানের পূর্ব পাশে, ১৮ নম্বর রোডে। সেখান থেকে নগর ভবনের দূরত্ব প্রায় ১১ কিলোমিটার। সিটি করপোরেশনের একটি গাড়িতে (ঢাকা মেট্রো খ ১২-০৩৯৬) করে তাঁর বনানীর বাসা থেকে নগর ভবনে খাবার আসত। বনানী থেকে নগর ভবনে যাওয়া-আসায় গাড়িটি দিনে ২২ কিলোমিটার পথ পাড়ি দিত।"
"1728738429-17","https://www.prothomalo.com/politics","তাপসের জন্য ভাত আনতে ৫১ মাসে ব্যয় ২৮ লাখ টাকা","https://www.prothomalo.com/bangladesh/capital/kdjqsiipxc","","","পরিবহন বিভাগের কর্মকর্তারা বলছেন, প্রতি লিটার তেলে অন্তত ১০ কিলোমিটার চলতে পারে ওই গাড়ি (সেডান কার)। অথচ প্রতিদিন গাড়িটির জন্য ২০ লিটার করে তেল দেওয়া হতো। এই গাড়ির জন্য প্রথম দিকে (২০২০ সালের জুন থেকে) দিনে ২৬ লিটার তেল বরাদ্দ দেওয়া হতো। গত বছরের শুরু থেকে বরাদ্দ ৬ লিটার কমিয়ে ২০ লিটার করা হয়। মেয়রের ভাত আনা ছাড়া গাড়িটি অন্য কাজে ব্যবহার করা হয়নি।"
"1728738429-18","https://www.prothomalo.com/politics","তাপসের জন্য ভাত আনতে ৫১ মাসে ব্যয় ২৮ লাখ টাকা","https://www.prothomalo.com/bangladesh/capital/kdjqsiipxc","","","বরাদ্দকৃত বাকি তেল কী করা হতো, তা জানতে চাইলে গাড়িচালক নাজিরুল ইসলাম বলেন, মেয়রের দপ্তরের জরুরি কাজে বিভিন্ন স্থানে তাঁকে যেত হতো। যে কারণে দিনে ২০ লিটার তেলের পুরোটাই ব্যবহৃত হতো বলে দাবি করেন তিনি।"
"1728738429-19","https://www.prothomalo.com/politics","তাপসের জন্য ভাত আনতে ৫১ মাসে ব্যয় ২৮ লাখ টাকা","https://www.prothomalo.com/bangladesh/capital/kdjqsiipxc","","","মেয়রের দায়িত্ব নেওয়ার পর নিয়ম ভেঙে সিটি করপোরেশনের দুটি গাড়ি সার্বক্ষণিক ব্যবহারের জন্য নিজের কাছে রেখেছিলেন তাপস। এই দুটি গাড়ির জন্য মাসে জ্বালানি তেল বরাদ্দ নেওয়া হতো ১ হাজার ৩০৫ লিটার। সে হিসাবে ৫১ মাসে ব্যয় হয়েছে ৮৩ লাখ ১৯ হাজার টাকা। অথচ মেয়র হিসেবে সার্বক্ষণিক ব্যবহারের জন্য একটির বেশি গাড়ি পাওয়ার কথা নয়।"
"1728738429-20","https://www.prothomalo.com/politics","তাপসের জন্য ভাত আনতে ৫১ মাসে ব্যয় ২৮ লাখ টাকা","https://www.prothomalo.com/bangladesh/capital/kdjqsiipxc","","","সিটি করপোরেশনের পরিবহন বিভাগ সূত্র বলছে, ঢাকা মেট্রো ঘ ১৫-৪৭৮৩ গাড়ি (এসইউভি বা স্পোর্টস ইউটিলিটি ভেহিকেল) বেশি ব্যবহার করতেন তাপস। এই গাড়ির দাম প্রায় ৫ কোটি ২০ লাখ টাকা। এই গাড়ির জন্য দৈনিক ৩৩ লিটার তেল বরাদ্দ দেওয়া হতো।"
"1728738429-21","https://www.prothomalo.com/politics","তাপসের জন্য ভাত আনতে ৫১ মাসে ব্যয় ২৮ লাখ টাকা","https://www.prothomalo.com/bangladesh/capital/kdjqsiipxc","","","মেয়রের জন্য সার্বক্ষণিক বরাদ্দ থাকা আরেকটি গাড়ি (এসইউভি) ঢাকা মেট্রো ঘ ১২-৯৬৯৮। এই গাড়ির জন্য দৈনিক ১০ লিটার তেল বরাদ্দ দেওয়া হতো।"
"1728738429-22","https://www.prothomalo.com/politics","তাপসের জন্য ভাত আনতে ৫১ মাসে ব্যয় ২৮ লাখ টাকা","https://www.prothomalo.com/bangladesh/capital/kdjqsiipxc","","","মেয়রের জন্য আরেকটি গাড়ি বরাদ্দ ছিল। সেটি ঢাকা মেট্রো ঘ ১৫-৫১৬২। অবশ্য এই গাড়ির জন্য দৈনিক দুই থেকে তিন লিটার তেল বরাদ্দ দেওয়া হতো।"
"1728738429-23","https://www.prothomalo.com/politics","তাপসের জন্য ভাত আনতে ৫১ মাসে ব্যয় ২৮ লাখ টাকা","https://www.prothomalo.com/bangladesh/capital/kdjqsiipxc","","","মেয়রের জন্য বরাদ্দ থাকা ঢাকা মেট্রো ঘ ১২-৯৬৯৮ গাড়ির চালক ছিলেন মনির হোসেন ভূঁইয়া। তিনি প্রথম আলোকে বলেন, বরাদ্দ থাকা তিনটি গাড়ির মধ্যে দুটি ব্যবহার করতেন মেয়রের স্ত্রী। তিনি বেশি ব্যবহার করতেন ঢাকা মেট্রো ঘ ১২-৯৬৯৮ গাড়ি।"
"1728738429-24","https://www.prothomalo.com/politics","তাপসের জন্য ভাত আনতে ৫১ মাসে ব্যয় ২৮ লাখ টাকা","https://www.prothomalo.com/bangladesh/capital/kdjqsiipxc","","","প্রাধিকার অনুযায়ী, গাড়ি না পেলেও নিজের সহকারী একান্ত সচিব ও ব্যক্তিগত সহকারীকে সিটি করপোরেশন থেকে সার্বক্ষণিক গাড়ির (এসইউভি) ব্যবস্থা করে দিয়েছিলেন তাপস। দুজনের নিয়োগ ছিল চুক্তিভিত্তিক। তাঁদের মধ্যে মেয়রের সহকারী একান্ত সচিব হিসেবে নিয়োগ পেয়েছিলেন ধানমন্ডি থানা ছাত্রলীগের সাবেক সাধারণ সম্পাদক নাছিরুল হাসান। আর ব্যক্তিগত সহকারী হিসেবে নিয়েছিলেন ঢাকা মহানগর উত্তর ছাত্রলীগের সাবেক সহসভাপতি মনিরুল ইসলামকে।"
"1728738429-25","https://www.prothomalo.com/politics","তাপসের জন্য ভাত আনতে ৫১ মাসে ব্যয় ২৮ লাখ টাকা","https://www.prothomalo.com/bangladesh/capital/kdjqsiipxc","","","গাড়ি বরাদ্দের পাশাপাশি সিটি করপোরেশনের পরিবহন শাখা থেকে দুজনের জন্য চালকও নিয়োগ দেওয়া হয়েছিল। এর মধ্যে নাছিরুলের গাড়ির জন্য করপোরেশন থেকে প্রতি মাসে গড়ে ৬২০ লিটার জ্বালানি তেল বরাদ্দ দেওয়া হতো। সে হিসাবে মাসে খরচ হতো ৭৭ হাজার ৫০০ টাকা। অন্যদিকে মনিরুলের গাড়ির জন্য করপোরেশন থেকে প্রতি মাসে গড়ে ৪৫০ লিটার জ্বালানি তেল বরাদ্দ দেওয়া হতো। সে হিসাবে মাসে ব্যয় হতো ৫৬ হাজার টাকা।"
"1728738429-26","https://www.prothomalo.com/politics","তাপসের জন্য ভাত আনতে ৫১ মাসে ব্যয় ২৮ লাখ টাকা","https://www.prothomalo.com/bangladesh/capital/kdjqsiipxc","","","এই দুজনের বাইরে তাপসের ব্যক্তিগত বিভিন্ন কাজ করে দিতেন গোলাম মোর্শেদ নামের এক ব্যক্তি। তিনি নিজেকে ‘প্রটোকল কর্মকর্তা’ হিসেবে পরিচয় দিতেন। তিনি সিটি করপোরেশনের কর্মী না হলেও তাঁর বসার ব্যবস্থা ছিল নগর ভবনে মেয়রের দপ্তরে। তাঁকেও করপোরেশন থেকে গাড়ি (ঢাকা মেট্রো ঠ ১৩-৩৩৮২) ব্যবহারের সুযোগ করে দেন তাপস। ‘ডাবল কেবিন পিকআপ’ ব্যবহার করতেন তিনি। এই গাড়ির জন্য করপোরেশন থেকে প্রতি মাসে গড়ে ৩৬০ লিটার জ্বালানি তেল বরাদ্দ দেওয়া হতো। সে হিসাবে মাসে খরচ হতো ৪৫ হাজার টাকা।"
"1728738429-27","https://www.prothomalo.com/politics","তাপসের জন্য ভাত আনতে ৫১ মাসে ব্যয় ২৮ লাখ টাকা","https://www.prothomalo.com/bangladesh/capital/kdjqsiipxc","","","তাপসের প্রটোকল কর্মকর্তা পরিচয়ে গোলাম মোর্শেদ সিটি করপোরেশনে বসে কাজ করেছেন দেড় বছর। তাপস দেশ ছাড়ার আগপর্যন্ত তিনি মেয়রের দপ্তরে বসে কাজ করেছেন। তাঁর পেছনে গাড়ির জ্বালানি বাবদ সিটি করপোরেশনের ব্যয় ৮ লাখ ১০ হাজার টাকা।"
"1728738429-28","https://www.prothomalo.com/politics","তাপসের জন্য ভাত আনতে ৫১ মাসে ব্যয় ২৮ লাখ টাকা","https://www.prothomalo.com/bangladesh/capital/kdjqsiipxc","","","ক্ষমতার দাপট দেখিয়ে গাড়ি ব্যবহারের নামে সাবেক মেয়র তাপস যা করেছেন, তা নজিরবিহীন বলে মনে করেন নগর–পরিকল্পনাবিদদের সংগঠন বাংলাদেশ ইনস্টিটিউট অব প্ল্যানার্সের সভাপতি আদিল মুহাম্মদ খান। তিনি প্রথম আলোকে বলেন, মেয়র থাকার সময় তাপস যা করেছেন, তা জনগণের সঙ্গে রীতিমতো প্রতারণা। সিটি করপোরেশনের গাড়ি নিয়ে তিনি যা করেছেন, তার সঠিক তদন্ত হওয়া প্রয়োজন। এসব গাড়ির পেছনে জ্বালানি তেলের জন্য জনগণের করের যে টাকা খরচ হয়েছে, সেই টাকা তাঁর কাছ থেকে নেওয়ার কোনো উপায় থাকলে সেই উদ্যোগ নেওয়া উচিত।"
"1728738431-29","https://www.prothomalo.com/politics","সোলায়মান চৌধুরীর পদত্যাগের পর নতুন আহ্বায়ক এবি পার্টির","https://www.prothomalo.com/politics/z6imh2scmj","সোলায়মান চৌধুরীর পদত্যাগের পর নতুন আহ্বায়ক এবি পার্টির","",""
"1728738431-30","https://www.prothomalo.com/politics","সোলায়মান চৌধুরীর পদত্যাগের পর নতুন আহ্বায়ক এবি পার্টির","https://www.prothomalo.com/politics/z6imh2scmj","","আপডেট: ০৯ অক্টোবর ২০২৪, ১৪: ০০",""
"1728738431-31","https://www.prothomalo.com/politics","সোলায়মান চৌধুরীর পদত্যাগের পর নতুন আহ্বায়ক এবি পার্টির","https://www.prothomalo.com/politics/z6imh2scmj","","","আমার বাংলাদেশ পার্টির (এবি পার্টি) প্রতিষ্ঠাতা আহ্বায়ক এ এফ এম সোলায়মান চৌধুরী দল থেকে পদত্যাগ করেছেন। তিনি সরকারের গুরুত্বপূর্ণ পদের আমন্ত্রণ পেয়েছেন বলে গুঞ্জন ছড়ানোর কথা দলটির সংবাদ বিজ্ঞপ্তিতে উল্লেখ করা হয়েছে।এদিকে, দলটির নতুন আহ্বায়ক করা হয়েছে মেজর (অব.) আব্দুল ওহাবকে।"
"1728738431-32","https://www.prothomalo.com/politics","সোলায়মান চৌধুরীর পদত্যাগের পর নতুন আহ্বায়ক এবি পার্টির","https://www.prothomalo.com/politics/z6imh2scmj","","","আজ বুধবার গণমাধ্যমে পাঠানো এক সংবাদ বিজ্ঞপ্তিতে এ তথ্য জানানো হয়েছে। এতে বলা হয়েছে, গতকাল মঙ্গলবার এবি পার্টির ন্যাশনাল এক্সিকিউটিভ কাউন্সিলের (এনইসি) জরুরি এক সভায় পার্টির যুগ্ম আহ্বায়ক মেজর (অব.) আব্দুল ওহাব মিনারকে পার্টির আহ্বায়ক নির্বাচিত করা হয়।"
"1728738431-33","https://www.prothomalo.com/politics","সোলায়মান চৌধুরীর পদত্যাগের পর নতুন আহ্বায়ক এবি পার্টির","https://www.prothomalo.com/politics/z6imh2scmj","","","সোলায়মান চৌধুরী ব্যক্তিগত কারণ দেখিয়ে গতকাল মঙ্গলবার দল থেকে পদত্যাগ করেন বলে এবি পার্টির সংবাদবিজ্ঞপ্তিতে জানানো হয়েছে।"
"1728738431-34","https://www.prothomalo.com/politics","সোলায়মান চৌধুরীর পদত্যাগের পর নতুন আহ্বায়ক এবি পার্টির","https://www.prothomalo.com/politics/z6imh2scmj","","","একইসঙ্গে সংবাদ বিজ্ঞাপ্তিতে বলা হয়েছে, দল পদত্যাগের পরপরই সোলায়মান চৌধুরী সরকারের গুরুত্বপূর্ণ পদের আমন্ত্রণ পেয়েছেন বলে গুঞ্জন ছড়িয়ে পড়ে। অন্তর্বর্তী সরকারের কোনো রাষ্ট্রীয় পদে আসীন হতে হলে ব্যক্তির রাজনৈতিক দলের সঙ্গে সংশ্লিষ্টতা পরিহার করতে হয়। এবি পার্টির গঠনতন্ত্রেও কোনো নেতার একইসঙ্গে দলীয় পদ ও সরকারি দায়িত্ব পালনের সুযোগ নেই;  তাঁকে পদত্যাগ করতে হয়।"
"1728738431-35","https://www.prothomalo.com/politics","সোলায়মান চৌধুরীর পদত্যাগের পর নতুন আহ্বায়ক এবি পার্টির","https://www.prothomalo.com/politics/z6imh2scmj","","","সম্প্রতি দলটির নেতা তাজুল ইসলামের দল থেকে পদত্যাগ করে সরকারি দায়িত্ব নেওয়ার ঘটনাও উদাহরণ হিসেবে তুলে ধরা হয় এবি পার্টির সংবাদ বিজ্ঞপ্তিতে। এতে বলা হয়, কয়েক সপ্তাহ আগে এবি পার্টির অন্যতম যুগ্ম আহ্বায়ক সুপ্রিম কোর্টের আইনজীবী তাজুল ইসলামও দল থেকে পদত্যাগ করেন এবং এরপর তিনি আন্তর্জাতিক অপরাধ ট্রাইব্যুনালের চিফ প্রসিকিউটর হিসেবে নিয়োগপ্রাপ্ত পান।
অবসরপ্রাপ্ত সচিব ও রাজস্ব বোর্ডের সাবেক চেয়ারম্যান সোলায়মান চৌধুরীকে আহ্বায়ক ও মজিবুর রহমান মঞ্জুকে সদস্যসচিব করে এবি পার্টি আত্মপ্রকাশ করেছিল ২০২০ সালের মে মাসে।"
"1728738431-36","https://www.prothomalo.com/politics","সোলায়মান চৌধুরীর পদত্যাগের পর নতুন আহ্বায়ক এবি পার্টির","https://www.prothomalo.com/politics/z6imh2scmj","","","সোলায়মান চৌধুরী গতকাল মঙ্গলবার সন্ধ্যায় এবি পির্টি থেকে পদত্যাগ করেন। এরপরই গত রাতে দলটির ন্যাশনাল এক্সিকিউটিভ কাউন্সিলের জরুরি সভা আহ্বান করা হয়। সেই সভায় সর্বসম্মতিক্রমে মেজর (অব.) আব্দুল ওহাবকে দলের নতুন আহ্বায়ক নির্বাচিত করা হয় বলে সংবাদবিজ্ঞপ্তিতে জানানো হয়েছে। তিনি দলটির প্রতিষ্ঠাতা যুগ্ম আহ্বায়ক। তিনি পেশায় একজন মনোরোগবিশেষজ্ঞ এবং একটি বেসরকারি মেডিকেল কলেজে অধ্যাপনা করেন।"
"1728738431-37","https://www.prothomalo.com/politics","সোলায়মান চৌধুরীর পদত্যাগের পর নতুন আহ্বায়ক এবি পার্টির","https://www.prothomalo.com/politics/z6imh2scmj","","","সংবাদ বিজ্ঞপ্তিতে বলা হয়েছে, কাউন্সিল সভায় দলের যুগ্ম আহ্বায়ক অ্যাডভোকেট গোলাম ফারুক, জাহাঙ্গীর কাসেম, এম হারুনুর রশীদ, বি এম নাজমুল হক, লে. কর্নেল (অব.) দিদারুল আলম, লে. কর্নেল (অব.) হেলাল উদ্দিন, সদস্যসচিব মজিবুর রহমান মঞ্জু, যুগ্ম সদস্যসচিব ব্যারিস্টার খান আজম, ব্যারিস্টার যোবায়ের আহমেদ ভুইয়া, অ্যাডভোকেট আবদুল্লাহ আল মামুন রানাসহ অন্য সদস্যরা উপস্থিত ছিলেন।"
"1728738434-38","https://www.prothomalo.com/politics","বিএনপি সনাতন ধর্মাবলম্বীদের পাশে ছিল, থাকবে: মির্জা ফখরুল","https://www.prothomalo.com/politics/vu0tkbqgyj","বিএনপি সনাতন ধর্মাবলম্বীদের পাশে ছিল, থাকবে: মির্জা ফখরুল","",""
"1728738434-39","https://www.prothomalo.com/politics","বিএনপি সনাতন ধর্মাবলম্বীদের পাশে ছিল, থাকবে: মির্জা ফখরুল","https://www.prothomalo.com/politics/vu0tkbqgyj","","আপডেট: ০৯ অক্টোবর ২০২৪, ১৬: ৪৪",""
"1728738434-40","https://www.prothomalo.com/politics","বিএনপি সনাতন ধর্মাবলম্বীদের পাশে ছিল, থাকবে: মির্জা ফখরুল","https://www.prothomalo.com/politics/vu0tkbqgyj","","","বিএনপির পক্ষ থেকে হিন্দুধর্মাবলম্বীদের শারদীয় দুর্গাপূজার শুভেচ্ছা ও অভিনন্দন জানিয়েছেন দলটির মহাসচিব মির্জা ফখরুল ইসলাম আলমগীর। তিনি বলেন, ‘এটুকু বলতে পারি, অতীতে যেমন আমরা আপনাদের সঙ্গে ছিলাম, আপনাদের প্রতিটি সমস্যায় পাশে এসে দাঁড়িয়েছি, ঠিক একইভাবে আগামীতেও আমরা আপনাদের সঙ্গে থাকব।’"
"1728738434-41","https://www.prothomalo.com/politics","বিএনপি সনাতন ধর্মাবলম্বীদের পাশে ছিল, থাকবে: মির্জা ফখরুল","https://www.prothomalo.com/politics/vu0tkbqgyj","","","আজ বুধবার সকালে ঢাকেশ্বরী জাতীয় মন্দিরে দুর্গাপূজা মণ্ডপ পরিদর্শন শেষে বিএনপির মহাসচিব এসব কথা বলেন। এ সময় তিনি সনাতন ধর্মাবলম্বী প্রতিনিধিদের সঙ্গে দুর্গাপূজার শুভেচ্ছা বিনিময় করেন।"
